timestamp,event,spotPrice,markPrice,fundingRate,funding_pnl_usd,funding_pnl_formula,basis_pnl_usd,basis_pnl_formula,total_pnl_usd
2024-11-26 00:00:00.000,Close Position,93836.5,93032.7,,0.0,0.000000 * 93836.50 = 0.0000,11.791648554507637,(93836.50 - 93032.70) - (95912.00 - 96065.15) = 956.9490; 956.9490 * 0.012322 = 11.7916,11.791648554507637
2024-11-27 16:00:00.000,Funding,,,0.00014736,0.0,,0.0,,0.0
2024-11-27 16:00:00.000,Close Position,95689.19,95692.3,,0.0,0.000000 * 95689.19 = 0.0000,2.5300002829863537,(95689.19 - 95692.30) - (93433.21 - 93641.10) = 204.7800; 204.7800 * 0.012355 = 2.5300,2.5300002829863537
2024-11-29 08:00:00.000,Funding,,,0.0001858,0.0,,0.0,,0.0
2024-11-29 08:00:00.000,Close Position,95979.99,95686.42669002,,0.0,0.000000 * 95979.99 = 0.0000,6.56474763455179,(95979.99 - 95686.43) - (95476.01 - 95714.67) = 532.2240; 532.2240 * 0.012335 = 6.5647,6.56474763455179
2024-12-02 16:00:00.000,Funding,,,0.00018086,0.0,,0.0,,0.0
2024-12-03 00:00:00.001,Funding,,,0.0001,0.0,,0.0,,0.0
2024-12-03 08:00:00.000,Funding,,,0.00014709,0.0,,0.0,,0.0
2024-12-03 16:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-12-04 00:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-12-04 08:00:00.000,Funding,,,0.00012502,0.0,,0.0,,0.0
2024-12-04 08:00:00.000,Close Position,96687.53,96729.0,,0.0,0.000000 * 96687.53 = 0.0000,12.495630469549424,(96687.53 - 96729.00) - (95053.66 - 96101.36) = 1006.2280; 1006.2280 * 0.012418 = 12.4956,12.495630469549424
2024-12-05 00:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-12-05 08:00:00.001,Funding,,,0.00068177,0.0,,0.0,,0.0
2024-12-05 16:00:00.000,Funding,,,0.00041965,0.0,,0.0,,0.0
2024-12-06 00:00:00.000,Funding,,,0.0001,0.0,,0.0,,0.0
2024-12-06 00:00:00.000,Close Position,97551.99,97064.40026294,,0.0,0.000000 * 97551.99 = 0.0000,19.389153728310212,(97551.99 - 97064.40) - (94847.81 - 95896.40) = 1536.1797; 1536.1797 * 0.012622 = 19.3892,19.389153728310212
